Timestamp,Source,Event,Details
2025-09-30T16:11:12.330666,Arduino,Message,3864
2025-09-30T16:11:14.132660,Arduino,Message,"IMU,-5404,-3044,13840"
2025-09-30T16:11:16.196776,Arduino,Message,"IMU,-5384,-3012,13812"
2025-09-30T16:11:18.819014,Arduino,Message,"IMU,-5360,-3004,13852"
2025-09-30T16:11:22.120340,Arduino,Message,"IMU,-5452,-2960,13872"
2025-09-30T16:11:23.115772,Arduino,Message,"-2984,13992"
2025-09-30T16:11:25.200018,Arduino,Message,"IMU,-5404,-2996,13864"
2025-09-30T16:11:28.316579,Arduino,Message,"IMU,-5404,-3044,13840"
2025-09-30T16:11:31.485923,Arduino,Message,"IMU,-5384,-3012,13812"
2025-09-30T16:11:37.807658,Arduino,Message,"IMU,-5360,-3004,13852"
2025-09-30T16:11:40.848094,Arduino,Message,"IMU,-5452,-2960,13872"
2025-09-30T16:11:44.114474,Arduino,Message,MPU6050 connected.
2025-09-30T16:11:50.503050,Arduino,Message,"IMU,-5440,-3016,13800"
2025-09-30T16:11:51.646099,Arduino,Message,"IMU,-5460,-3000,13924"
2025-09-30T16:11:55.217597,Arduino,Message,"IMU,-5440,-3028,13804"
2025-09-30T16:11:59.035508,Arduino,Message,"IMU,-5376,-2984,13856"
2025-09-30T16:12:02.150225,Arduino,Message,"IMU,-5444,-2952,13816"
2025-09-30T16:12:05.417966,Arduino,Message,"IMU,-5484,-2896,13968"
2025-09-30T16:12:08.342839,Arduino,Message,"IMU,-5400,-3080,13808"
2025-09-30T16:12:11.458999,Arduino,Message,"IMU,-5416,-3004,13796"
