Timestamp,Source,Event,Details
2025-10-01T13:51:32.600706,Arduino,Message,"56,220,14288"
2025-10-01T13:51:32.608733,Arduino,Message,"IMU,6152,-4,14324"
2025-10-01T13:51:32.614268,Arduino,Message,"IMU,5948,272,14440"
2025-10-01T13:51:32.619538,Arduino,Message,"IMU,5920,396,14524"
2025-10-01T13:51:32.625156,Arduino,Message,"IMU,6264,8,14288"
2025-10-01T13:51:32.630439,Arduino,Message,"IMU,6212,300,14428"
2025-10-01T13:51:32.636082,Arduino,Message,"184,14400"
2025-10-01T13:51:32.641423,Arduino,Message,"IMU,6056,220,14288"
2025-10-01T13:51:32.646968,Arduino,Message,"IMU,6152,-4,14324"
2025-10-01T13:51:32.652527,Arduino,Message,"IMU,5948,272,14440"
2025-10-01T13:51:32.729865,Arduino,Message,"IMU,5920,396,14524"
2025-10-01T13:51:34.464610,Arduino,Message,"IMU,6264,8,14288"
2025-10-01T13:51:36.469894,Arduino,Message,"IMU,6212,300,14428"
2025-10-01T13:51:37.061614,Arduino,Message,MPU6050 connected.
2025-10-01T13:51:39.707158,Arduino,Message,"IMU,5672,12,14580"
2025-10-01T13:51:45.948042,Arduino,Message,"IMU,6248,56,14432"
2025-10-01T13:51:49.272915,Arduino,Message,"IMU,6084,112,14504"
2025-10-01T13:51:52.568917,Arduino,Message,"IMU,5880,280,14544"
2025-10-01T13:51:53.097274,Arduino,Message,"IMU,6100,192,14456"
2025-10-01T13:51:55.759958,Arduino,Message,"IMU,6084,228,14292"
2025-10-01T13:51:58.877440,Arduino,Message,"IMU,6148,300,14444"
2025-10-01T13:52:02.088110,Arduino,Message,"IMU,6160,224,14376"
2025-10-01T13:52:05.302262,Arduino,Message,"IMU,5980,228,14436"
2025-10-01T13:52:09.053062,Arduino,Message,"IMU,6096,168,14248"
2025-10-01T13:52:09.637226,Arduino,Message,"IMU,6256,204,14252"
2025-10-01T13:52:12.364116,Arduino,Message,"IMU,6056,200,14404"
2025-10-01T13:52:16.044800,Arduino,Message,"IMU,6028,24,14624"
2025-10-01T13:52:19.201372,Arduino,Message,"IMU,5940,288,14540"
2025-10-01T13:52:22.465415,Arduino,Message,"IMU,6124,292,14480"
2025-10-01T13:52:25.814343,Arduino,Message,"IMU,6040,308,14396"
2025-10-01T13:52:26.293876,Arduino,Message,"IMU,6120,240,14420"
2025-10-01T13:52:28.919215,Arduino,Message,"IMU,5968,80,14456"
2025-10-01T13:52:32.215188,Arduino,Message,"IMU,6052,124,14452"
2025-10-01T13:52:35.290718,Arduino,Message,"IMU,5992,380,14468"
2025-10-01T13:52:36.289726,Arduino,Message,"IMU,5876,112,14548"
2025-10-01T13:52:38.537709,Arduino,Message,"IMU,5944,220,14488"
2025-10-01T13:52:42.149019,Arduino,Message,"IMU,6060,272,14424"
2025-10-01T13:52:45.606864,Arduino,Message,"IMU,6108,268,14384"
2025-10-01T13:52:48.868578,Arduino,Message,"IMU,6172,252,14240"
2025-10-01T13:52:51.582460,Arduino,Message,"IMU,6036,252,14348"
2025-10-01T13:52:52.534938,Arduino,Message,"IMU,5872,216,14592"
2025-10-01T13:52:54.751695,Arduino,Message,"IMU,5836,236,14416"
2025-10-01T13:52:58.349932,Arduino,Message,"IMU,5928,232,14516"
2025-10-01T13:53:03.111839,Arduino,Message,"IMU,5828,392,14484"
2025-10-01T13:53:04.472305,Arduino,Message,"IMU,6088,260,14448"
2025-10-01T13:53:05.029144,Arduino,Message,"IMU,5944,348,14444"
