Timestamp,Source,Event,Details
2025-09-30T15:14:52.950975,Arduino,Message,Y: -284
2025-09-30T15:14:53.443803,Arduino,Message,AY: -344
2025-09-30T15:14:56.709021,Arduino,Message,AY: -544
2025-09-30T15:14:57.167027,Arduino,Message,AY: -448
2025-09-30T15:14:59.977635,Arduino,Message,AY: -144
2025-09-30T15:15:02.991589,Arduino,Message,AY: -540
2025-09-30T15:15:09.346452,Arduino,Message,AY: -128
2025-09-30T15:15:09.417417,Arduino,Message,AY: -664
2025-09-30T15:15:09.483661,Arduino,Message,AY: -304
2025-09-30T15:15:09.566212,Arduino,Message,AY: -232
2025-09-30T15:15:09.633243,Arduino,Message,AY: -376
2025-09-30T15:15:12.526175,Arduino,Message,AY: -456
2025-09-30T15:15:15.670404,Arduino,Message,: -512
2025-09-30T15:15:18.833483,Arduino,Message,AY: -284
2025-09-30T15:15:22.063727,Arduino,Message,AY: -344
2025-09-30T15:15:25.236620,Arduino,Message,AY: -544
