Timestamp,Source,Event,Details
2025-10-01T13:44:45.532798,Arduino,Message,5144
2025-10-01T13:44:45.541885,Arduino,Message,416
2025-10-01T13:44:45.548757,Arduino,Message,"IMU,7112,124,13804"
2025-10-01T13:44:45.555475,Arduino,Message,"IMU,7476,140,13836"
2025-10-01T13:44:45.561574,Arduino,Message,"IMU,7664,124,13784"
2025-10-01T13:44:45.567249,Arduino,Message,"IMU,7216,-192,14080"
2025-10-01T13:44:45.573633,Arduino,Message,"IMU,6900,-184,13892"
2025-10-01T13:44:45.579644,Arduino,Message,"IMU,7488,-220,14144"
2025-10-01T13:44:45.585534,Arduino,Message,416
2025-10-01T13:44:45.664642,Arduino,Message,"IMU,7112,124,13804"
2025-10-01T13:44:46.919630,Arduino,Message,"IMU,7476,140,13836"
2025-10-01T13:44:49.414167,Arduino,Message,"IMU,7664,124,13784"
2025-10-01T13:44:53.433328,Arduino,Message,"IMU,7216,-192,14080"
2025-10-01T13:44:54.052408,Arduino,Message,"IMU,6900,-184,13892"
2025-10-01T13:44:54.569879,Arduino,Message,"IMU,7488,-220,14144"
2025-10-01T13:45:01.427304,Arduino,Message,416
2025-10-01T13:45:10.103721,Arduino,Message,"IMU,7112,124,13804"
2025-10-01T13:45:10.708555,Arduino,Message,"IMU,7476,140,13836"
2025-10-01T13:45:14.582805,Arduino,Message,"IMU,7664,124,13784"
2025-10-01T13:45:19.381148,Arduino,Message,"IMU,7216,-192,14080"
2025-10-01T13:45:27.317890,Arduino,Message,"IMU,6900,-184,13892"
2025-10-01T13:45:30.243212,Arduino,Message,"IMU,7488,-220,14144"
2025-10-01T13:45:30.702467,Arduino,Message,MPU6050 connected.
2025-10-01T13:45:34.062094,Arduino,Message,"IMU,6840,12,14016"
2025-10-01T13:45:40.877917,Arduino,Message,"IMU,6920,72,14092"
2025-10-01T13:45:45.135949,Arduino,Message,"IMU,6796,68,14200"
2025-10-01T13:45:48.624726,Arduino,Message,"IMU,6804,48,14156"
2025-10-01T13:45:55.548137,Arduino,Message,"IMU,6752,0,14068"
2025-10-01T13:45:56.967495,Arduino,Message,"IMU,6732,0,14068"
2025-10-01T13:46:00.173031,Arduino,Message,"IMU,6756,116,14152"
2025-10-01T13:46:04.620391,Arduino,Message,"IMU,6652,-52,14300"
2025-10-01T13:46:08.790076,Arduino,Message,"IMU,6540,36,14212"
2025-10-01T13:46:12.697066,Arduino,Message,"IMU,6616,4,14280"
2025-10-01T13:46:15.980288,Arduino,Message,"IMU,6756,20,14048"
2025-10-01T13:46:16.753603,Arduino,Message,"IMU,6596,-32,14208"
2025-10-01T13:46:20.077268,Arduino,Message,"IMU,6704,12,14068"
2025-10-01T13:46:28.004763,Arduino,Message,"IMU,6756,-28,14076"
2025-10-01T13:46:31.599628,Arduino,Message,"IMU,6764,-112,14276"
2025-10-01T13:46:34.697901,Arduino,Message,"IMU,6840,136,14092"
2025-10-01T13:46:35.350325,Arduino,Message,"IMU,6724,-108,14192"
2025-10-01T13:46:38.280236,Arduino,Message,"IMU,6752,80,14204"
2025-10-01T13:46:41.766446,Arduino,Message,"IMU,6744,-12,14152"
2025-10-01T13:46:42.308016,Arduino,Message,"IMU,6808,-96,14256"
2025-10-01T13:46:44.985548,Arduino,Message,"IMU,6760,36,14092"
2025-10-01T13:46:48.147010,Arduino,Message,"IMU,6832,88,14084"
2025-10-01T13:46:51.413763,Arduino,Message,"IMU,6752,60,14080"
2025-10-01T13:46:54.641638,Arduino,Message,"IMU,6580,184,14212"
2025-10-01T13:46:57.841144,Arduino,Message,"IMU,6652,24,14200"
2025-10-01T13:46:58.603030,Arduino,Message,"IMU,6756,68,14220"
2025-10-01T13:47:01.095167,Arduino,Message,"IMU,6788,152,14140"
2025-10-01T13:47:04.239547,Arduino,Message,"IMU,6716,136,14240"
2025-10-01T13:47:07.392077,Arduino,Message,"IMU,6624,88,14104"
