Timestamp,Source,Event,Details
2025-10-01T13:53:39.581405,Arduino,Message,"408,-448,14660"
2025-10-01T13:53:39.587992,Arduino,Message,"IMU,5224,-64,14676"
2025-10-01T13:53:39.593537,Arduino,Message,12
2025-10-01T13:53:39.599582,Arduino,Message,"IMU,5804,-60,14436"
2025-10-01T13:53:39.605598,Arduino,Message,"IMU,5312,-264,14604"
2025-10-01T13:53:39.611331,Arduino,Message,"IMU,5312,-272,14780"
2025-10-01T13:53:39.616691,Arduino,Message,"IMU,5108,-112,14560"
2025-10-01T13:53:39.622226,Arduino,Message,"IMU,5408,-448,14660"
2025-10-01T13:53:39.627911,Arduino,Message,"IMU,5224,-64,14676"
2025-10-01T13:53:39.637010,Arduino,Message,12
2025-10-01T13:53:42.852519,Arduino,Message,"IMU,5804,-60,14436"
2025-10-01T13:53:46.071475,Arduino,Message,"IMU,5312,-264,14604"
2025-10-01T13:53:49.252227,Arduino,Message,"IMU,5312,-272,14780"
2025-10-01T13:53:52.373524,Arduino,Message,"IMU,5108,-112,14560"
2025-10-01T13:53:55.475932,Arduino,Message,"IMU,5408,-448,14660"
2025-10-01T13:53:58.716866,Arduino,Message,"IMU,5224,-64,14676"
2025-10-01T13:54:01.812359,Arduino,Message,MPU6050 connected.
2025-10-01T13:54:04.937656,Arduino,Message,"IMU,5200,64,14680"
2025-10-01T13:54:08.484329,Arduino,Message,"IMU,5236,-44,14560"
2025-10-01T13:54:18.039568,Arduino,Message,"IMU,5400,-112,14760"
2025-10-01T13:54:21.325814,Arduino,Message,"IMU,5116,-60,14636"
2025-10-01T13:54:24.485049,Arduino,Message,"IMU,5148,-180,14780"
2025-10-01T13:54:27.533231,Arduino,Message,"IMU,5352,-148,14668"
