Timestamp,Source,Event,Details
2025-09-30T15:56:19.053614,Arduino,Message,"072,928,15300"
2025-09-30T15:56:22.407746,Arduino,Message,"IMU,2172,980,15172"
2025-09-30T15:56:25.428805,Arduino,Message,",15296"
2025-09-30T15:56:25.873796,Arduino,Message,"IMU,1992,968,15156"
2025-09-30T15:56:28.892084,Arduino,Message,"IMU,1884,924,15296"
2025-09-30T15:56:32.533578,Arduino,Message,"IMU,2160,688,15296"
2025-09-30T15:56:35.691643,Arduino,Message,"IMU,2272,772,15348"
2025-09-30T15:56:38.828426,Arduino,Message,"IMU,2072,928,15300"
2025-09-30T15:56:41.978072,Arduino,Message,"IMU,2172,980,15172"
2025-09-30T15:56:45.128579,Arduino,Message,",15296"
2025-09-30T15:56:45.840349,Arduino,Message,"IMU,1992,968,15156"
2025-09-30T15:56:48.797322,Arduino,Message,"IMU,1884,924,15296"
2025-09-30T15:56:52.966833,Arduino,Message,"IMU,2160,688,15296"
2025-09-30T15:56:56.812667,Arduino,Message,"IMU,2272,772,15348"
2025-09-30T15:57:00.402995,Arduino,Message,"IMU,2072,928,15300"
