Timestamp,Source,Event,Details
2025-09-30T14:52:51.762741,Arduino,Message,-2928
2025-09-30T14:52:52.500819,Arduino,Message,AY: -2848
2025-09-30T14:52:55.119055,Arduino,Message,AY: -3968
2025-09-30T14:52:58.259334,Arduino,Message,AY: -3068
2025-09-30T14:53:01.423103,Arduino,Message,AY: -2996
2025-09-30T14:53:04.700347,Arduino,Message,MPU6050 connected.
2025-09-30T14:53:07.728189,Arduino,Message,AY: -3324
2025-09-30T14:53:08.298815,Arduino,Message,AY: -3180
2025-09-30T14:53:10.973944,Arduino,Message,AY: -3120
2025-09-30T14:53:14.344864,Arduino,Message,AY: -3224
2025-09-30T14:53:18.153980,Arduino,Message,AY: -3088
2025-09-30T14:53:18.735655,Arduino,Message,AY: -3164
2025-09-30T14:53:21.840141,Arduino,Message,AY: -3416
2025-09-30T14:53:25.335452,Arduino,Message,AY: -2824
2025-09-30T14:53:28.738505,Arduino,Message,AY: -3380
2025-09-30T14:53:32.520165,Arduino,Message,AY: -3180
