Timestamp,Source,Event,Details
2025-09-30T16:05:42.798793,Arduino,Message,"IMU,260,2500,14312"
2025-09-30T16:05:43.417591,Arduino,Message,"IMU,IMU,2768,872,16492"
2025-09-30T16:05:45.773666,Arduino,Message,"IMU,-312,2392,15460"
2025-09-30T16:05:46.733952,Arduino,Message,"IMU,1536,2012,14552"
2025-09-30T16:05:48.962422,Arduino,Message,"IMU,-2516,1236,14472"
2025-09-30T16:05:55.774158,Arduino,Message,"IMU,472,3720,15420"
2025-09-30T16:05:59.133299,Arduino,Message,"IMU,260,2500,14312"
2025-09-30T16:06:02.200640,Arduino,Message,"IMU,5MU,2768,872,16492"
2025-09-30T16:06:05.299666,Arduino,Message,"IMU,-312,2392,15460"
2025-09-30T16:06:05.950639,Arduino,Message,"IMU,1536,2012,14552"
2025-09-30T16:06:08.524211,Arduino,Message,"IMU,-2516,1236,14472"
2025-09-30T16:06:11.634464,Arduino,Message,"IMU,472,3720,15420"
2025-09-30T16:06:14.864302,Arduino,Message,"IMU,260,2500,14312"
2025-09-30T16:06:18.659434,Arduino,Message,"IMU,5MPU6050 connected."
2025-09-30T16:06:22.399417,Arduino,Message,"IMU,200,2244,15084"
2025-09-30T16:06:26.274494,Arduino,Message,"IMU,596,2416,15096"
2025-09-30T16:06:29.696114,Arduino,Message,"IMU,32,2172,15276"
2025-09-30T16:06:33.181100,Arduino,Message,"IMU,-212,2124,15328"
