Timestamp,Source,Event,Details
2025-09-30T15:18:56.186250,Arduino,Message,300
2025-09-30T15:18:57.478408,Arduino,Message,AY: -9280
2025-09-30T15:19:00.728868,Arduino,Message,-9272
2025-09-30T15:19:03.779696,Arduino,Message,AY: -9252
2025-09-30T15:19:07.146653,Arduino,Message,AY: -9244
2025-09-30T15:19:10.646001,Arduino,Message,AY: -9156
2025-09-30T15:19:14.127181,Arduino,Message,AY: -9376
2025-09-30T15:19:14.555338,Arduino,Message,AY: -9204
2025-09-30T15:19:14.992121,Arduino,Message,AY: -9360
2025-09-30T15:19:17.328794,Arduino,Message,AY: -9280
2025-09-30T15:19:20.345240,Arduino,Message,AY: -9268
2025-09-30T15:19:23.599069,Arduino,Message,AY: -9216
2025-09-30T15:19:26.757891,Arduino,Message,AY: -9300
2025-09-30T15:19:30.026129,Arduino,Message,AY: -9280
2025-09-30T15:19:36.894642,Arduino,Message,-9272
2025-09-30T15:19:40.163460,Arduino,Message,AY: -9252
2025-09-30T15:19:41.226845,Arduino,Message,AY: -9244
2025-09-30T15:19:43.220292,Arduino,Message,AY: -9156
